"date","fremont_bridge_nb","fremont_bridge_sb"
"2017-01-09T06:00:00.000","55","28"
"2017-01-04T20:00:00.000","10","19"
"2017-01-18T13:00:00.000","18","18"
"2017-01-06T11:00:00.000","15","22"
"2017-01-27T11:00:00.000","38","39"
"2017-01-08T14:00:00.000","10","6"
"2017-01-06T23:00:00.000","3","8"
"2017-01-27T13:00:00.000","35","45"
"2017-01-18T03:00:00.000","0","1"
"2017-01-01T08:00:00.000","2","3"
"2017-01-07T02:00:00.000","1","2"
"2017-01-21T11:00:00.000","51","43"
"2017-01-07T16:00:00.000","27","22"
"2017-01-15T01:00:00.000","3","1"
"2017-01-22T06:00:00.000","2","0"
"2017-01-06T16:00:00.000","40","114"
"2017-01-30T04:00:00.000","2","4"
"2017-01-10T19:00:00.000","28","61"
"2015-11-15T02:00:00.000","0","0"
"2017-01-24T01:00:00.000","3","3"
"2017-01-01T01:00:00.000","5","14"
"2017-01-15T07:00:00.000","5","3"
"2017-01-25T11:00:00.000","35","25"
"2017-01-15T14:00:00.000","46","59"
"2017-01-16T10:00:00.000","41","37"
"2017-01-19T15:00:00.000","18","36"
"2012-10-03T02:00:00.000","1","1"
"2015-11-29T04:00:00.000","0","0"
"2017-01-09T23:00:00.000","4","3"
"2017-01-04T10:00:00.000","26","31"
"2017-01-09T01:00:00.000","0","0"
"2017-01-28T14:00:00.000","75","34"
"2017-01-26T13:00:00.000","28","25"
"2017-01-08T02:00:00.000","1","0"
"2017-01-09T12:00:00.000","19","10"
"2017-01-16T18:00:00.000","39","82"
"2017-01-01T05:00:00.000","0","0"
"2017-01-15T05:00:00.000","3","1"
"2017-01-04T11:00:00.000","14","15"
"2017-01-31T15:00:00.000","52","58"
"2017-01-06T06:00:00.000","34","31"
"2017-01-03T18:00:00.000","48","132"
"2017-01-04T03:00:00.000","1","0"
"2017-01-08T12:00:00.000","14","11"
"2017-01-11T17:00:00.000","70","225"
"2017-01-28T22:00:00.000","3","14"
"2017-01-07T21:00:00.000","3","5"
"2017-01-21T03:00:00.000","1","0"
"2017-01-29T01:00:00.000","2","4"
"2017-01-11T15:00:00.000","20","34"
"2017-01-24T18:00:00.000","86","193"
"2017-01-26T01:00:00.000","0","0"
"2017-01-30T14:00:00.000","30","38"
"2017-01-05T08:00:00.000","162","107"
"2017-01-27T14:00:00.000","47","40"
"2017-01-15T15:00:00.000","55","44"
"2017-01-18T19:00:00.000","21","44"
"2017-01-19T11:00:00.000","17","22"
"2017-01-04T15:00:00.000","28","48"
"2017-01-16T21:00:00.000","6","10"
"2017-01-21T19:00:00.000","6","17"
"2017-01-06T10:00:00.000","40","31"
"2017-01-01T09:00:00.000","7","4"
"2017-01-29T20:00:00.000","5","21"
"2017-01-28T13:00:00.000","77","54"
"2017-01-22T20:00:00.000","7","8"
"2017-01-03T23:00:00.000","1","2"
"2017-01-13T16:00:00.000","51","115"
"2017-01-13T21:00:00.000","14","12"
"2017-01-06T20:00:00.000","13","20"
"2017-01-13T01:00:00.000","4","1"
"2017-01-22T05:00:00.000","4","1"
"2017-01-15T04:00:00.000","0","0"
"2012-10-05T01:00:00.000","4","4"
"2017-01-13T03:00:00.000","0","0"
"2012-10-05T03:00:00.000","2","2"
"2017-01-27T22:00:00.000","6","23"
"2017-01-23T20:00:00.000","22","45"
"2017-01-09T02:00:00.000","0","0"
"2017-01-24T16:00:00.000","50","131"
"2017-01-01T12:00:00.000","17","8"
"2017-01-23T12:00:00.000","25","39"
"2017-01-11T03:00:00.000","0","0"
"2017-01-26T14:00:00.000","29","36"
"2017-01-29T19:00:00.000","2","42"
"2017-01-10T17:00:00.000","80","203"
"2017-01-06T22:00:00.000","3","9"
"2017-01-08T19:00:00.000","3","2"
"2017-01-11T01:00:00.000","0","0"
"2017-01-28T12:00:00.000","56","46"
"2017-01-01T23:00:00.000","2","3"
"2017-01-31T03:00:00.000","1","0"
"2017-01-29T12:00:00.000","50","38"
"2017-01-11T05:00:00.000","16","9"
"2017-01-23T06:00:00.000","59","35"
"2012-10-05T23:00:00.000","16","16"
"2017-01-25T18:00:00.000","83","176"
"2017-01-17T09:00:00.000","75","85"
"2017-01-20T12:00:00.000","25","23"
"2017-01-15T16:00:00.000","32","30"
"2017-01-24T00:00:00.000","3","2"
"2017-01-28T15:00:00.000","55","71"
"2017-01-05T14:00:00.000","20","30"
"2017-01-10T18:00:00.000","59","141"
"2017-01-04T00:00:00.000","2","1"
"2017-01-17T22:00:00.000","2","2"
"2017-01-13T17:00:00.000","65","193"
"2017-01-27T18:00:00.000","60","154"
"2017-01-16T04:00:00.000","1","2"
"2017-01-16T07:00:00.000","69","36"
"2017-01-22T19:00:00.000","7","9"
"2017-01-14T19:00:00.000","6","13"
"2017-01-19T00:00:00.000","0","0"
"2017-01-09T21:00:00.000","4","6"
"2017-01-12T12:00:00.000","20","17"
"2017-01-01T06:00:00.000","2","2"
"2017-01-26T20:00:00.000","14","41"
"2017-01-04T17:00:00.000","73","231"
"2017-01-28T09:00:00.000","29","25"
"2017-01-29T15:00:00.000","36","21"
"2017-01-08T07:00:00.000","5","3"
"2017-01-16T01:00:00.000","2","0"
"2017-01-24T21:00:00.000","14","24"
"2017-01-03T08:00:00.000","175","97"
"2017-01-23T11:00:00.000","25","29"
"2017-01-19T19:00:00.000","29","64"
"2017-01-06T00:00:00.000","3","1"
"2017-01-30T19:00:00.000","28","86"
"2017-01-27T04:00:00.000","4","3"
"2017-01-17T20:00:00.000","6","22"
"2017-01-14T14:00:00.000","45","31"
"2017-01-17T04:00:00.000","4","2"
"2017-01-02T06:00:00.000","7","4"
"2017-01-01T21:00:00.000","3","5"
"2017-01-19T13:00:00.000","32","17"
"2017-01-24T05:00:00.000","16","15"
"2017-01-23T01:00:00.000","2","1"
"2017-01-15T08:00:00.000","13","11"
"2017-01-23T18:00:00.000","90","187"
"2017-01-08T05:00:00.000","1","1"
"2017-01-07T01:00:00.000","0","1"
"2017-01-05T13:00:00.000","22","20"
"2012-10-07T22:00:00.000","9","9"
"2017-01-05T01:00:00.000","0","1"
"2017-01-07T05:00:00.000","4","0"
"2012-10-08T01:00:00.000","2","2"
"2017-01-02T03:00:00.000","1","0"
"2017-01-10T16:00:00.000","53","87"
"2017-01-24T06:00:00.000","58","36"
"2017-01-22T03:00:00.000","1","0"
"2017-01-06T09:00:00.000","84","58"
"2017-01-15T22:00:00.000","5","7"
"2017-01-14T12:00:00.000","41","38"
"2017-01-27T01:00:00.000","1","3"
"2017-01-02T22:00:00.000","3","1"
"2017-01-10T09:00:00.000","83","67"
"2017-01-19T22:00:00.000","7","12"
"2017-01-19T18:00:00.000","54","159"
"2017-01-20T08:00:00.000","180","166"
"2017-01-17T03:00:00.000","0","1"
"2017-01-18T04:00:00.000","5","1"
"2017-01-20T19:00:00.000","24","63"
"2017-01-13T13:00:00.000","26","22"
"2017-01-15T00:00:00.000","4","2"
"2017-01-19T16:00:00.000","51","110"
"2017-01-04T07:00:00.000","111","50"
"2017-01-09T14:00:00.000","10","13"
"2017-01-30T11:00:00.000","28","22"
"2017-01-25T14:00:00.000","17","23"
"2017-01-22T17:00:00.000","14","17"
"2012-10-09T02:00:00.000","2","2"
"2017-01-18T10:00:00.000","12","20"
"2017-01-01T14:00:00.000","16","26"
"2017-01-17T12:00:00.000","11","18"
"2017-01-22T09:00:00.000","12","9"
"2017-01-23T08:00:00.000","256","150"
"2017-01-07T14:00:00.000","25","23"
"2017-01-23T14:00:00.000","25","48"
"2017-01-18T11:00:00.000","12","17"
"2017-01-14T15:00:00.000","31","30"
"2017-01-22T08:00:00.000","9","12"
"2017-01-22T01:00:00.000","0","6"
"2012-10-09T14:00:00.000","54","54"
"2017-01-21T00:00:00.000","3","11"
"2017-01-26T08:00:00.000","247","154"
"2017-01-15T17:00:00.000","21","18"
"2017-01-05T12:00:00.000","23","19"
"2017-01-19T14:00:00.000","20","24"
"2017-01-13T11:00:00.000","22","20"
"2017-01-27T06:00:00.000","45","22"
"2012-10-09T22:00:00.000","17","17"
"2017-01-01T04:00:00.000","0","1"
"2017-01-12T23:00:00.000","13","4"
"2017-01-14T10:00:00.000","37","28"
"2017-01-30T01:00:00.000","0","2"
"2017-01-05T05:00:00.000","17","8"
"2017-01-15T13:00:00.000","69","53"
"2017-01-05T11:00:00.000","31","25"
"2017-01-31T19:00:00.000","27","89"
"2017-01-25T12:00:00.000","31","21"
"2017-01-20T07:00:00.000","149","78"
"2017-01-24T15:00:00.000","39","60"
"2017-01-14T03:00:00.000","0","2"
"2017-01-21T20:00:00.000","3","7"
"2017-01-09T09:00:00.000","82","83"
"2017-01-01T03:00:00.000","0","2"
"2017-01-14T22:00:00.000","6","4"
"2017-01-18T01:00:00.000","0","0"
"2012-10-10T15:00:00.000","65","65"
"2017-01-03T19:00:00.000","26","47"
"2017-01-01T10:00:00.000","7","6"
"2017-01-30T21:00:00.000","9","28"
"2017-01-28T05:00:00.000","1","2"
"2017-01-17T06:00:00.000","51","26"
"2017-01-22T23:00:00.000","2","5"
"2015-11-21T02:00:00.000","0","0"
"2017-01-27T10:00:00.000","41","41"
"2017-01-08T16:00:00.000","5","8"
"2017-01-03T02:00:00.000","2","0"
"2017-01-27T02:00:00.000","1","0"
"2017-01-03T04:00:00.000","7","2"
"2017-01-11T00:00:00.000","2","1"
"2017-01-23T07:00:00.000","175","94"
"2017-01-02T02:00:00.000","1","0"
"2017-01-11T16:00:00.000","56","103"
"2017-01-19T08:00:00.000","193","135"
"2017-01-22T07:00:00.000","8","4"
"2017-01-15T12:00:00.000","46","45"
"2017-01-11T08:00:00.000","162","106"
"2017-01-17T16:00:00.000","43","89"
"2017-01-26T15:00:00.000","42","52"
"2017-01-14T09:00:00.000","20","23"
"2017-01-19T02:00:00.000","0","1"
"2012-10-11T16:00:00.000","135","135"
"2017-01-12T05:00:00.000","15","12"
"2017-01-30T00:00:00.000","0","1"
"2017-01-05T16:00:00.000","48","114"
"2017-01-03T15:00:00.000","25","42"
"2017-01-25T16:00:00.000","62","105"
"2017-01-07T13:00:00.000","23","28"
"2017-01-12T06:00:00.000","37","23"
"2017-01-26T04:00:00.000","5","2"
"2017-01-16T20:00:00.000","7","16"
"2017-01-29T16:00:00.000","23","36"
"2017-01-08T13:00:00.000","6","11"
"2017-01-18T15:00:00.000","23","29"
"2017-01-26T19:00:00.000","38","96"
"2017-01-31T11:00:00.000","24","23"
"2017-01-18T09:00:00.000","51","37"
"2017-01-07T22:00:00.000","2","4"
"2017-01-29T03:00:00.000","1","2"
"2017-01-07T23:00:00.000","3","5"
"2017-01-02T10:00:00.000","20","23"
"2017-01-19T06:00:00.000","43","19"
"2017-01-10T20:00:00.000","9","32"
"2017-01-01T07:00:00.000","1","1"
"2017-01-25T19:00:00.000","37","77"
"2017-01-16T17:00:00.000","53","146"
"2017-01-10T15:00:00.000","27","51"
"2017-01-14T02:00:00.000","2","0"
"2017-01-08T23:00:00.000","2","2"
"2017-01-19T21:00:00.000","12","19"
"2017-01-29T09:00:00.000","30","22"
"2017-01-22T10:00:00.000","9","8"
"2017-01-10T11:00:00.000","17","20"
"2017-01-07T17:00:00.000","12","14"
"2017-01-06T13:00:00.000","25","29"
"2017-01-19T20:00:00.000","15","36"
"2017-01-29T11:00:00.000","41","33"
"2017-01-26T05:00:00.000","23","11"
"2017-01-28T00:00:00.000","5","8"
"2017-01-12T07:00:00.000","105","58"
"2017-01-26T23:00:00.000","4","9"
"2017-01-06T02:00:00.000","0","0"
"2017-01-23T04:00:00.000","1","2"
"2017-01-12T22:00:00.000","17","13"
"2017-01-27T00:00:00.000","1","5"
"2017-01-25T03:00:00.000","0","0"
"2017-01-21T08:00:00.000","30","34"
"2017-01-01T11:00:00.000","9","12"
"2017-01-30T20:00:00.000","19","36"
"2017-01-04T16:00:00.000","54","101"
"2012-10-13T17:00:00.000","25","25"
"2017-01-20T18:00:00.000","59","137"
"2017-01-05T02:00:00.000","0","1"
"2017-01-06T15:00:00.000","30","52"
"2017-01-07T04:00:00.000","0","0"
"2017-01-02T17:00:00.000","19","26"
"2017-01-12T13:00:00.000","27","20"
"2012-10-14T00:00:00.000","3","3"
"2017-01-10T06:00:00.000","53","32"
"2012-10-14T02:00:00.000","4","4"
